20MICRONS,20111227,65.05,65.8,62.35,62.75,81636
3IINFOTECH,20111227,12.55,12.65,12.2,12.35,2180878
3MINDIA,20111227,3678.95,3678.95,3626,3626,4
A2ZMES,20111227,92.5,92.85,89.1,89.95,97599
AANJANEYA,20111227,500,509,492.85,504.7,119308
AARTIDRUGS,20111227,76,79,76,76.65,1607
AARTIIND,20111227,48,48.05,47.3,47.8,45705
AARVEEDEN,20111227,29.05,29.85,28.6,29.75,1033
ABAN,20111227,338.75,346.6,334.25,337.3,602153
ABB,20111227,592.95,593.5,586,587.05,33161
ABBOTINDIA,20111227,1422,1452.95,1420,1423.4,349
ABCIL,20111227,72,74.6,70.5,73,884
ABGSHIP,20111227,393,393.4,376.5,386.6,153015
ABHISHEK,20111227,8.5,8.75,8,8.35,4395
ABIRLANUVO,20111227,769.6,771,750.3,753.95,38168
ACC,20111227,1164,1180.9,1158.6,1174.65,283885
ACE,20111227,35,35,28.55,28.75,25893
ACROPETAL,20111227,11.65,11.75,11.35,11.7,35173
ADANIENT,20111227,326.85,330.15,318,321.8,183426
ADANIPOWER,20111227,68.55,68.6,66.7,67.1,151118
ADFFOODS,20111227,50.1,52,47.55,51.45,21201
ADHUNIK,20111227,39,39.25,38.3,38.5,26159
ADORWELD,20111227,116.4,119,114,115.7,1217
ADSL,20111227,21.8,21.8,20.65,20.75,90325
ADVANIHOTR,20111227,33,33,33,33,351
ADVANTA,20111227,260,260,251.05,251.95,54464
AEGISCHEM,20111227,106,111,106,107.15,8750
AFL,20111227,35.5,36.9,35.5,36.3,3072
AFTEK,20111227,9.75,9.8,9.55,9.6,58144
AGCNET,20111227,132,133,128,128.15,823
AGRE,20111227,32.4,33,30.55,31.2,1112
AGRODUTCH,20111227,5.2,5.4,5.2,5.35,5871
AHLEAST,20111227,318,325,304,318.65,2671
AHLUCONT,20111227,58,58,52.25,54.2,2738
AHLWEST,20111227,118,124,117.35,120.8,281
AHMEDFORGE,20111227,83.9,86,81.2,85.15,6135
AIAENG,20111227,270.05,276.95,270,275,101704
AJANTPHARM,20111227,313.95,313.95,302.25,306.75,3222
AJMERA,20111227,101,101.9,98.55,99.55,1330
AKSHOPTFBR,20111227,7,7.2,6.85,7,90650
AKZOINDIA,20111227,749.6,778,749.6,768.8,510
ALBK,20111227,124.05,125.3,120.25,121.15,1422689
ALCHEM,20111227,118.45,118.45,118.45,118.45,107
ALEMBICLTD,20111227,15,15,14.4,14.5,14511
ALFALAVAL,20111227,2215.1,2230,2214,2223.5,1292
ALICON,20111227,70.4,70.4,70.4,70.4,100
ALKALI,20111227,29,30.65,28.6,29.5,4664
ALLCARGO,20111227,123,126,122.55,125.05,425
ALLSEC,20111227,11.6,12.25,11.5,11.5,131
ALMONDZ,20111227,12.1,12.8,11.7,12.4,920
ALOKTEXT,20111227,18.15,18.15,17.5,17.55,6923846
ALPA,20111227,6.55,6.8,6.5,6.8,2621
ALPHAGEO,20111227,56.5,63.7,55,60.25,2093
ALPSINDUS,20111227,2,2.1,2,2.1,3950
AMAR,20111227,132,134.5,129.15,129.95,160189
AMARAJABAT,20111227,199.85,202.45,197.35,198.35,65519
AMARJOTHI,20111227,46.5,46.5,46,46,400
