20MICRONS,20111114,66.5,68,63.8,64.5,138720
3IINFOTECH,20111114,23.6,24,21.65,21.8,1761309
3MINDIA,20111114,4300,4300,4110.2,4145.45,92
A2ZMES,20111114,154.7,157.45,146.6,148.55,118952
AANJANEYA,20111114,452.45,464.7,441.4,457.6,50122
AARTIDRUGS,20111114,96.55,97.2,92.65,94.25,3394
AARTIIND,20111114,49.5,49.95,47.55,47.85,26031
AARVEEDEN,20111114,31.6,36,31.6,34.05,322
ABAN,20111114,430,434.25,416,418.95,714809
ABB,20111114,699.95,708.9,681,685.65,52260
ABBOTINDIA,20111114,1530,1545.25,1510,1516.75,10506
ABCIL,20111114,88.5,90,85.15,86.25,2756
ABGSHIP,20111114,419.4,420.2,401.65,407.1,95347
ABHISHEK,20111114,9.35,9.35,8.5,8.5,981
ABIRLANUVO,20111114,938.75,944,906.4,915.75,27967
ACC,20111114,1222.15,1232.95,1211,1217.1,124930
ACE,20111114,38.5,42,37.2,37.7,44590
ACKRUTI,20111114,186,186.9,181,181.85,5510
ACROPETAL,20111114,17,17.85,16.65,16.95,518684
ADANIENT,20111114,464.6,465.8,455,456.5,529840
ADANIPOWER,20111114,84.6,84.6,81.25,81.85,321474
ADFFOODS,20111114,57.65,58.85,53.2,53.3,3169
ADHUNIK,20111114,43.75,44,42.5,42.85,70301
ADORWELD,20111114,138.1,140.95,132.75,134.2,3996
ADSL,20111114,28.7,30,27.1,27.75,112203
ADVANIHOTR,20111114,30.85,33.6,30.85,33,926
ADVANTA,20111114,447,460.4,422.7,426.15,109298
AEGISCHEM,20111114,187.95,188,176.05,177.35,5328
AFL,20111114,42.65,44.75,40.55,42.2,8277
AFTEK,20111114,14.1,14.25,11.8,12.15,364898
AGCNET,20111114,140.7,143.95,138.4,141.3,375
AGRE,20111114,39.15,40.2,38.25,38.25,8336
AGRODUTCH,20111114,7,7.1,6.7,6.75,7198
AHLEAST,20111114,297.7,298.25,297,297.85,326
AHLUCONT,20111114,105,105.7,100.25,101.65,3597
AHLWEST,20111114,148.5,148.5,141,142.95,240
AHMEDFORGE,20111114,103.5,105,100.25,100.3,18714
AIAENG,20111114,310,319,302.75,311.5,14109
AJANTPHARM,20111114,342,344.45,331,333.15,4846
AJMERA,20111114,112.5,114,109.1,110.45,10751
AKSHOPTFBR,20111114,6.15,6.4,6.15,6.15,24395
AKZOINDIA,20111114,863.15,877.65,851.1,874.75,7588
ALBK,20111114,167,169.8,164.1,164.95,382443
ALCHEM,20111114,258.3,259.95,258,258.4,151365
ALEMBICLTD,20111114,18,18,17.05,17.35,44861
