20MICRONS,20111214,59.5,59.75,58.2,58.8,98576
3IINFOTECH,20111214,18.7,18.7,16.6,16.85,3806911
3MINDIA,20111214,3583,3650,3566.3,3590.4,83
A2ZMES,20111214,114.5,118.85,112.6,114.3,144422
AANJANEYA,20111214,450,453,437,449.6,7278
AARTIDRUGS,20111214,79.75,81,78.1,78.1,502
AARTIIND,20111214,47.8,48.75,46.8,47.05,15708
AARVEEDEN,20111214,32.7,32.7,32.7,32.7,1
ABAN,20111214,360,360.1,343.25,347.25,981504
ABB,20111214,597.8,599.5,587,591.55,34177
ABBOTINDIA,20111214,1477,1477,1435,1439.8,772
ABCIL,20111214,74,77,73.3,74.15,263
ABGSHIP,20111214,418.15,422.7,416,420.45,45466
ABHISHEK,20111214,7.5,7.75,7.25,7.3,6529
ABIRLANUVO,20111214,876.2,882.7,856.15,866.85,39566
ACC,20111214,1144,1147.8,1123.2,1140.65,177264
ACE,20111214,34.45,35.6,30.65,31.6,212978
ACROPETAL,20111214,13.35,13.75,13.2,13.5,28611
ADANIENT,20111214,321.3,321.4,310.7,315.3,1001744
ADANIPOWER,20111214,72.05,74.75,69.1,73.4,613332
ADFFOODS,20111214,48,53,46.5,47.1,2045
ADHUNIK,20111214,37.05,39.35,37.05,38.5,48716
ADORWELD,20111214,121,122.65,119,119.35,1325
ADSL,20111214,23.3,23.3,22.65,22.7,21114
ADVANIHOTR,20111214,33,34.5,33,33.8,4
ADVANTA,20111214,291.95,304.3,291.1,296.1,94499
AEGISCHEM,20111214,134,137.7,133.1,133.9,6034
AFL,20111214,36,36.75,36,36.3,3314
AFTEK,20111214,10.15,10.5,10.15,10.3,74488
AGCNET,20111214,133.85,140.4,133,139.95,434
AGRE,20111214,38.4,38.4,34.5,34.55,5823
AGRODUTCH,20111214,5.95,6.15,5.85,5.9,8007
AHLEAST,20111214,268,284,268,280,112
AHLUCONT,20111214,62.5,63,59.85,61.65,7707
AHLWEST,20111214,130,136,128.7,131,139
AHMEDFORGE,20111214,90,91.95,88.8,90.3,2957
AIAENG,20111214,281,300,278,280.05,330714
AJANTPHARM,20111214,315,318,313.2,315.55,2515
AJMERA,20111214,103.5,108.95,100.5,104.15,7525
AKSHOPTFBR,20111214,6.75,6.95,6.7,6.85,34114
AKZOINDIA,20111214,787.95,787.95,753.05,767.85,41054
ALBK,20111214,149.4,153.3,148.35,149.95,537946
ALCHEM,20111214,256.55,256.9,256,256.35,84873
ALEMBICLTD,20111214,16.25,16.8,15.25,15.5,27096
ALFALAVAL,20111214,2180,2208.95,2168,2193.65,2433
