20MICRONS,20111130,57.2,58,56,56.15,66133
3IINFOTECH,20111130,19,19,18.25,18.55,861275
3MINDIA,20111130,3751.1,3850,3751.1,3814.6,25
A2ZMES,20111130,122,122.85,118.5,121.35,87435
AANJANEYA,20111130,456.8,467.1,451,461.95,25427
AARTIDRUGS,20111130,80.5,81.7,80.05,80.75,1602
AARTIIND,20111130,47,49,47,48.7,22183
AARVEEDEN,20111130,31.55,33.5,31,32,322
ABAN,20111130,349.05,354.95,344.15,350,686735
ABB,20111130,595,605,580,596.65,99439
ABBOTINDIA,20111130,1505,1505,1461,1466.15,463
ABCIL,20111130,78,79,77,77.35,239
ABGSHIP,20111130,402,406.95,400.55,403.35,40136
ABHISHEK,20111130,8.1,8.1,7.5,8,997
ABIRLANUVO,20111130,904,907.1,884.15,896.95,51769
ACC,20111130,1142.15,1152.8,1135,1144.3,263791
ACE,20111130,33,36.3,33,35.05,219550
ACROPETAL,20111130,14.2,14.25,13.85,13.9,19679
ADANIENT,20111130,304,316.05,294.7,301.4,910863
ADANIPOWER,20111130,71.5,73,69.85,71.2,326237
ADFFOODS,20111130,48.1,54.7,46.5,53.15,41328
ADHUNIK,20111130,39,39,34.25,37.45,481444
ADORWELD,20111130,123.35,123.35,119,120.15,5100
ADSL,20111130,24.8,25.35,24.25,24.5,37980
ADVANIHOTR,20111130,32,32,32,32,6
ADVANTA,20111130,317.95,321.9,304.6,306.7,33452
AEGISCHEM,20111130,137.1,145,137.1,139.65,6447
AFL,20111130,38,38,34,36.25,31933
AFTEK,20111130,11.25,11.25,10.4,10.45,84907
AGCNET,20111130,143,143,121.3,140,2480
AGRE,20111130,39.8,42.6,39.75,40.75,15685
AGRODUTCH,20111130,7.2,7.35,6.1,6.4,18438
AHLEAST,20111130,286,298.9,285.2,286,513
AHLUCONT,20111130,67.75,70,67.75,68.25,372
AHLWEST,20111130,128,144.9,125.1,142.9,128
AHMEDFORGE,20111130,93,94.75,92.5,93.15,1196
AIAENG,20111130,293,298,270,274.95,170574
AJANTPHARM,20111130,330,343.5,328.3,339,22283
AJMERA,20111130,107.4,122,107.4,120.5,936774
AKSHOPTFBR,20111130,7,7,6.75,6.9,180710
AKZOINDIA,20111130,824,824,805,809.35,1855
ALBK,20111130,154,154.9,149,151.45,821667
ALCHEM,20111130,257.05,258,257.05,257.85,97403
ALEMBICLTD,20111130,16,16.3,15.55,15.7,17093
ALFALAVAL,20111130,2171,2187.05,2170,2176.85,868
ALICON,20111130,65.55,65.55,65.55,65.55,32
ALKALI,20111130,31.5,32,31,31.85,2744
ALKYLAMINE,20111130,90.05,93.9,90.05,93.9,1000
ALLCARGO,20111130,136,136,133.05,134.25,743
ALLSEC,20111130,12.7,13.3,12.7,13.2,5069
ALMONDZ,20111130,21,21,20.1,20.45,12884
ALOKTEXT,20111130,18.6,18.95,18.05,18.65,5228549
ALPA,20111130,7.15,7.65,7.15,7.4,199
ALPHAGEO,20111130,68,68,65.1,66.25,2868
AMAR,20111130,123.4,125.35,122.35,123,95036
AMARAJABAT,20111130,214.9,216.6,210,211.55,7184
AMARJOTHI,20111130,48.5,50,47.05,48.45,4681
AMBIKCO,20111130,178.9,178.9,163.8,166.45,2644
AMBUJACEM,20111130,145,150.15,144.3,148.5,1758583
AMDIND,20111130,15.95,15.95,14.6,15.3,4359
AMRUTANJAN,20111130,705.2,711.7,695.7,701.05,54096
AMTEKAUTO,20111130,124.4,130.05,115.6,118.15,354699
AMTEKINDIA,20111130,94.15,99.2,92.25,96.8,254966
ANANTRAJ,20111130,45.6,46,42.2,45.35,113424
ANDHRABANK,20111130,100,100,98.35,99.6,187305
ANDHRSUGAR,20111130,112.05,114.8,112.05,113.25,4236
ANGIND,20111130,17.75,19.6,17.75,19.6,300
ANIKINDS,20111130,30.9,30.9,29,29,338
ANSALAPI,20111130,26.8,28.5,24.4,25.1,686839
ANSALHSG,20111130,34,38.55,34,38.55,93910
APARINDS,20111130,140,142.15,129.5,132.15,6555
