20MICRONS,20110801,53.05,53.2,51.6,52.05,68485
3IINFOTECH,20110801,41.6,42.45,40.2,40.45,732469
3MINDIA,20110801,4464.3,4510,4455,4496.2,643
A2ZMES,20110801,260.75,267.8,258.2,263.75,177694
AANJANEYA,20110801,375,382.8,372.9,378,164147
AARTIDRUGS,20110801,135,136,130.05,131.2,4818
AARTIIND,20110801,51.55,52,50.85,51.2,15380
AARVEEDEN,20110801,48.5,55,47.5,49.45,2166
ABAN,20110801,491,497.95,474.25,480.7,599881
ABB,20110801,868.85,894,854.05,862.55,31353
ABBOTINDIA,20110801,1403,1489,1403,1459.8,1422
ABCIL,20110801,122,129.25,116.3,128.75,6338
ABGSHIP,20110801,393,399.2,391.65,396.7,362375
ABHISHEK,20110801,13,14,13,13.65,2437
ABIRLANUVO,20110801,965,974.8,948.25,953.6,69623
ACC,20110801,1010,1020,1004.15,1008.7,186546
ACE,20110801,50.5,50.95,47.05,48.5,296510
ACKRUTI,20110801,183.95,184,177,177.45,9830
ACROPETAL,20110801,17.1,17.85,17,17.05,878252
ADANIENT,20110801,605,649,601.1,638.15,5426379
ADANIPOWER,20110801,104,106.1,99.8,103.25,5524229
ADFFOODS,20110801,69.7,71.15,69.1,69.85,7281
ADHUNIK,20110801,74.55,75.5,73.1,73.55,22653
ADORWELD,20110801,182.45,182.45,175,175.55,9382
ADSL,20110801,43.8,44.95,42.9,43.1,66142
ADVANIHOTR,20110801,37.75,37.75,36,36,970
ADVANTA,20110801,312,314.35,295,298.6,66728
AEGISCHEM,20110801,230.5,236,221.3,224.55,33109
AFL,20110801,44,45,43.35,44,4839
AFTEK,20110801,13.35,13.55,13.25,13.3,130196
AGCNET,20110801,155,157,146.4,155.4,1090
AGRE,20110801,49,50,48.55,49.9,2765
AGRODUTCH,20110801,9.55,10.15,9.5,9.85,24927
AHLEAST,20110801,292.05,305,292.05,297.95,358
AHLUCONT,20110801,134,139,133.6,138.1,10192
AHLWEST,20110801,188.9,188.9,177.5,178.6,568
AHMEDFORGE,20110801,124.95,124.95,120,120.05,7947
AIAENG,20110801,380,394,379.2,389.05,5822
AJANTPHARM,20110801,352,356,346.05,348.55,20301
AJMERA,20110801,148.5,152,145.1,145.9,11465
AKSHOPTFBR,20110801,7.05,7.15,7,7.05,46014
AKZOINDIA,20110801,989.9,997.9,969,977.35,18046
ALBK,20110801,203,206.5,200.5,202.05,506553
ALCHEM,20110801,229.45,229.9,228.8,229.35,107210
ALEMBICLTD,20110801,22.1,22.15,21,21.3,93350
ALFALAVAL,20110801,1672.25,1678.9,1651.55,1654.9,985
ALKALI,20110801,51.35,60.5,50.6,51.15,24428
ALKYLAMINE,20110801,90.1,92.9,89.3,91.1,3121
ALLCARGO,20110801,160.05,160.05,157,157.25,1016
ALLSEC,20110801,20.5,20.5,18.8,19.3,3725
ALMONDZ,20110801,25.65,25.65,24,24.3,628
ALOKTEXT,20110801,25.65,25.7,24.6,24.7,5612249
ALPA,20110801,10.2,10.75,10.05,10.05,1400
ALPSINDUS,20110801,3.2,3.2,3.05,3.1,28511
AMAR,20110801,94.5,94.95,92.1,92.9,37667
AMARAJABAT,20110801,239.55,243,233,234.1,34906
AMARJOTHI,20110801,60.1,62.35,59,59.2,362
AMBIKCO,20110801,185.05,193.5,185.05,187.7,5020
AMBUJACEM,20110801,130.5,133,127.35,129.25,1717846
AMDIND,20110801,18.7,18.7,17.4,17.7,2160
