20MICRONS,20111121,60,61.8,55.6,56.6,148416
3IINFOTECH,20111121,19.8,19.8,18.4,18.55,1433595
3MINDIA,20111121,4080.1,4125,4045.1,4061.05,67
A2ZMES,20111121,136.4,138.75,132.25,133.65,117446
AANJANEYA,20111121,438,451.95,434.1,442.35,14878
AARTIDRUGS,20111121,81,88.95,81,83.55,1637
AARTIIND,20111121,47.65,49,46.55,46.95,61645
AARVEEDEN,20111121,30,32,29.5,31.25,2810
ABAN,20111121,390.75,392.85,346.35,354.75,1167885
ABB,20111121,618,630,600,608.1,69532
ABBOTINDIA,20111121,1475,1510,1475,1500.75,2636
ABCIL,20111121,78.5,80,77.05,77.35,2469
ABGSHIP,20111121,391.6,396.85,389.1,393.1,52685
ABHISHEK,20111121,8,8.2,8,8.05,1702
ABIRLANUVO,20111121,908,929,892.05,898.3,63424
ACC,20111121,1145.15,1149.6,1128,1134.5,246278
ACE,20111121,32,32.5,29.55,32.05,100548
ACROPETAL,20111121,13.55,14,13.4,13.45,136255
ADANIENT,20111121,331,338.75,308.75,312,911872
ADANIPOWER,20111121,73.5,76.9,72.65,75.65,396093
ADFFOODS,20111121,47.4,47.5,46.5,46.55,3072
ADHUNIK,20111121,40.4,40.85,40.05,40.15,26182
ADORWELD,20111121,125,127.9,123.3,124.7,4740
ADSL,20111121,25,25.9,23.8,24,115104
ADVANIHOTR,20111121,30.55,32,30.55,31.95,7644
ADVANTA,20111121,356.1,365.95,333.15,337.35,56724
AEGISCHEM,20111121,163,164.65,152.1,154.5,11225
AFL,20111121,39.5,40.25,38.2,39.9,724
AFTEK,20111121,11.2,11.25,10.5,10.6,142936
AGCNET,20111121,126,148,126,143.05,6744
AGRE,20111121,36.1,37.45,33.5,36.45,3307
AGRODUTCH,20111121,6,6.15,5.9,5.95,8967
AHLEAST,20111121,291.3,307.9,291.3,296.5,1018
AHLUCONT,20111121,79.1,87,70.3,74.45,3360
AHLWEST,20111121,139.9,140.05,134,136.75,381
AHMEDFORGE,20111121,93.45,93.45,90.1,91.5,3156
AIAENG,20111121,275.5,286.95,275.5,284,147184
AJANTPHARM,20111121,310,325,306.25,313.45,36506
AJMERA,20111121,99,101,95.5,96.8,7356
AKSHOPTFBR,20111121,6.2,6.7,6,6.55,409869
AKZOINDIA,20111121,854.9,858,820.05,845,7386
ALBK,20111121,148,150,144.15,146.95,829913
ALCHEM,20111121,257.05,264.95,256.95,257.3,107931
ALEMBICLTD,20111121,16.35,16.45,15.9,16.2,35389
ALFALAVAL,20111121,2205,2221,2200,2205.7,1252
ALKALI,20111121,35.15,36.45,34,34.3,6376
ALKYLAMINE,20111121,90.05,90.05,88.2,89.5,171
