20MICRONS,20110922,56.2,57.05,56,56.45,143760
3IINFOTECH,20110922,28.5,28.5,27.3,27.5,619182
3MINDIA,20110922,4332,4355,4200,4278.2,453
A2ZMES,20110922,229.9,229.9,214.35,217.4,123656
AANJANEYA,20110922,504.9,511.9,472.2,486.7,253449
AARTIDRUGS,20110922,116.8,116.8,108.2,108.35,2213
AARTIIND,20110922,48.5,48.5,46.6,46.9,25886
AARVEEDEN,20110922,36.35,36.95,35.35,35.6,1694
ABAN,20110922,381.25,385.9,370,371.9,556932
ABB,20110922,810.1,816,781,794.85,92500
ABBOTINDIA,20110922,1495,1510,1468.05,1477.4,1370
ABCIL,20110922,102.3,104.85,99.8,100.6,13176
ABGSHIP,20110922,382,385,374.1,379.65,156185
ABHISHEK,20110922,10.5,10.65,10,10.2,6252
ABIRLANUVO,20110922,949.8,954.05,924.3,926.35,76995
ACC,20110922,1057.05,1084.8,1048.85,1068.4,550496
ACE,20110922,46.1,47.8,46.1,46.65,119169
ACKRUTI,20110922,193,197,188.1,190.05,7527
ACROPETAL,20110922,16.5,17,16.2,16.2,121538
ADANIENT,20110922,611,611,581,583.9,404317
ADANIPOWER,20110922,85.6,87.75,80.1,83.8,609226
ADFFOODS,20110922,70,70,59.2,60.05,9818
ADHUNIK,20110922,49.5,51.45,48.7,49.1,92357
ADORWELD,20110922,160,163.9,155,155.75,23626
ADSL,20110922,29.5,30.4,28.85,29.15,187119
ADVANIHOTR,20110922,35,35,35,35,200
ADVANTA,20110922,397,408,378.35,390.45,61701
AEGISCHEM,20110922,206,209.9,192.2,196.9,13188
AFL,20110922,39,39,37.65,37.95,4021
AFTEK,20110922,11.55,11.55,11.05,11.15,121414
AGCNET,20110922,123.1,126.6,121.5,122.4,1269
AGRE,20110922,42.05,44,40.05,41.1,2739
AGRODUTCH,20110922,7.3,8.05,7.3,7.7,11326
AHLEAST,20110922,295,295,293,293,260
AHLUCONT,20110922,113.9,114,111,112.2,690
AHLWEST,20110922,163.9,163.9,158.15,159.1,935
AHMEDFORGE,20110922,109.95,109.95,103.75,105.2,9978
AIAENG,20110922,308.15,311.85,308.15,310,105979
AJANTPHARM,20110922,322,323.75,311.1,312.95,3896
AJMERA,20110922,128,130.8,126,126.45,21644
AKSHOPTFBR,20110922,6.55,6.6,6.1,6.25,22633
AKZOINDIA,20110922,935,955.95,935,942.05,42169
ALBK,20110922,165.4,166,159.1,160.15,502826
ALCHEM,20110922,263.6,264.5,261.15,261.55,94164
ALEMBICLTD,20110922,19,19.8,19,19.2,35719
ALFALAVAL,20110922,2240.05,2260,2195,2201.3,10023
ALKALI,20110922,41.9,41.9,39.7,39.9,3573
ALKYLAMINE,20110922,85.2,87.9,84.2,84.3,1193
ALLCARGO,20110922,154,154,142.8,145.9,398482
ALLSEC,20110922,13.85,13.85,13.2,13.3,13491
ALMONDZ,20110922,22.7,22.7,22.35,22.35,806
ALOKTEXT,20110922,18.5,18.5,17.1,17.4,8209424
ALPA,20110922,8.45,8.45,7.8,7.9,4898
ALPHAGEO,20110922,101,102,95.8,97.6,2957
AMAR,20110922,109,110.8,106.35,107.5,35957
AMARAJABAT,20110922,211.1,214.85,206.15,210.95,34385
