20MICRONS,20110829,53,55.5,51.65,54.7,133707
3IINFOTECH,20110829,25.6,27.2,25.55,26.95,1125524
3MINDIA,20110829,4515.1,4728,4451,4599,1718
A2ZMES,20110829,174,180,173,177.85,87361
AANJANEYA,20110829,421,435.9,412,422.3,155847
AARTIDRUGS,20110829,114,115,112.1,114.65,2322
AARTIIND,20110829,44,45.05,43.05,43.95,65701
AARVEEDEN,20110829,31.4,31.5,30.85,30.85,407
ABAN,20110829,355,365,342,361.8,547671
ABB,20110829,823.95,830,810.5,824.45,43570
ABBOTINDIA,20110829,1412.1,1479.9,1412.1,1467.4,17251
ABCIL,20110829,100.5,101.85,98,98.45,6025
ABGSHIP,20110829,362.45,377,358.7,374.95,316013
ABHISHEK,20110829,10,11.1,10,10.7,1290
ABIRLANUVO,20110829,854.95,888,831.95,876.1,176045
ACC,20110829,1005,1007.8,994,1002.5,189366
ACE,20110829,41.25,44.95,41.25,44.25,73761
ACKRUTI,20110829,186,191.9,181.1,190.05,15521
ACROPETAL,20110829,14.8,15,14.55,14.85,89847
ADANIENT,20110829,533.8,540.55,527.25,539.45,310207
ADANIPOWER,20110829,85,91.5,85,89.5,557191
ADFFOODS,20110829,51.05,55.9,51.05,55.5,2729
ADHUNIK,20110829,55.5,57.35,54.3,54.7,59838
ADORWELD,20110829,149.85,161,143.1,157.9,30125
ADSL,20110829,24.9,25,23.2,23.9,137925
ADVANIHOTR,20110829,35.1,37.5,35.1,35.25,1850
ADVANTA,20110829,340.05,357.9,337.2,348.35,277967
AEGISCHEM,20110829,182.2,201.4,182.2,191.45,43898
AFL,20110829,37.6,38.9,37.2,37.4,12733
AFTEK,20110829,11.5,11.5,11.15,11.3,110447
AGCNET,20110829,111.2,118.7,111.2,115,875
AGRE,20110829,41.5,42.5,40.95,42,2191
AGRODUTCH,20110829,7.55,7.75,7.35,7.45,33662
AHLEAST,20110829,289.95,311,286.2,288.9,758
AHLUCONT,20110829,110.25,118,110.25,113.55,3002
AHLWEST,20110829,149.95,157.25,147.3,150.1,359
AHMEDFORGE,20110829,103.05,108.8,103.05,106.75,9094
AIAENG,20110829,326.95,331.95,322.05,327.95,19935
AJANTPHARM,20110829,308,309,301.3,303.05,23090
AJMERA,20110829,113.5,119.05,113,116.75,30549
AKSHOPTFBR,20110829,6.85,6.85,6.45,6.55,75147
AKZOINDIA,20110829,926.15,945,926.15,934.05,6849
ALBK,20110829,178,178,169.15,172.05,540912
ALCHEM,20110829,231.05,250,231.05,248.7,178809
ALEMBICLTD,20110829,18.25,19,18.25,18.5,37161
ALFALAVAL,20110829,1570,1689.95,1570,1654,12009
ALKALI,20110829,43.85,44.55,37,38.5,11201
ALKYLAMINE,20110829,84.5,85.1,82,83.1,2809
ALLCARGO,20110829,143,152,143,149.35,5468
ALLSEC,20110829,13.2,15,13.2,14.35,2192
ALMONDZ,20110829,22.5,24.2,22.5,22.5,14689
ALOKTEXT,20110829,17.75,17.8,16.75,17.4,4217882
ALPA,20110829,8.25,8.65,8,8.1,5187
ALPSINDUS,20110829,2.6,2.6,2.4,2.5,23578
AMAR,20110829,92.9,101.05,92.9,96.65,125928
AMARAJABAT,20110829,261.6,261.6,234.25,235.55,20993
AMARJOTHI,20110829,55,55.4,53.15,54.25,104
AMBIKCO,20110829,173,183.85,164,179.3,3664
AMBUJACEM,20110829,132.25,134,131.25,133.15,1360679
AMDIND,20110829,19.5,20,19,19.45,9123
AMLSTEEL,20110829,13,13.5,12,13,1048
AMRUTANJAN,20110829,779.9,811.8,766,784.7,286850
AMTEKAUTO,20110829,133.9,137.6,131.6,132.9,851295
AMTEKINDIA,20110829,120,121,115.2,115.8,283325
ANANTRAJ,20110829,60.1,64.8,60.1,64,216569
ANDHRABANK,20110829,123.4,127.8,123.05,127,367000
ANDHRSUGAR,20110829,102.05,104.9,102.05,104.55,9732
ANGIND,20110829,20,22.65,20,21.45,1158
ANIKINDS,20110829,32.6,34.8,32.6,34.8,239
ANKURDRUGS,20110829,25.7,25.9,24.9,25.35,35950
ANSALAPI,20110829,27.2,27.35,26.35,26.75,231181
ANSALHSG,20110829,35.35,38,35.35,37.65,3888
APARINDS,20110829,153,155.95,151.15,153.95,5086
APCOTEXIND,20110829,176.45,176.45,159.5,162.6,3672
APIL,20110829,510.05,524.35,502,521.9,82946
APOLLOHOSP,20110829,550.15,550.95,528,531.1,18069
APOLLOTYRE,20110829,54.2,56.95,53.9,56.3,3396307
APPAPER,20110829,356,364.5,356,360.25,47055
APTECHT,20110829,120,122.8,119.35,121.35,429432
AQUA,20110829,14.1,15.1,14.1,14.9,140929
ARCHIDPLY,20110829,10,10.7,10,10.2,13129
ARCHIES,20110829,36.2,37.85,36.2,36.8,11826
AREVAT&D,20110829,208.45,212.6,206.15,210.75,42486
ARIES,20110829,88,94.5,83,87.4,39275
ARIHANT,20110829,47.95,48.8,47.95,48.8,2639
ARL,20110829,2,2.4,2,2,125500
AROGRANITE,20110829,35.15,37.4,35.1,36.7,2207
ARROWTEX,20110829,9,9.75,8.5,9.35,3286
ARSHIYA,20110829,132.5,137.95,132.2,136.3,6291
ARSSINFRA,20110829,293.95,295.8,286.3,288.25,247746
ARVIND,20110829,72.05,76.5,72.05,76.3,1621134
ASAHIINDIA,20110829,66.05,69.95,65.35,66,68025
ASAHISONG,20110829,95.95,98.8,88,94.75,809
ASAL,20110829,48,54.8,48,50.55,1029
ASHAPURMIN,20110829,15.65,16.95,15.65,16.65,18832
ASHCONIUL,20110829,1.9,2,1.9,1.9,10927
ASHIANA,20110829,135,140,132.1,139.35,2260
ASHOKA,20110829,265,267,260.05,264.9,422
ASHOKLEY,20110829,24.8,25.15,24.75,25,4403879
ASIANHOTNR,20110829,179.9,182.45,174,177.35,1259
ASIANPAINT,20110829,3265.8,3310,3231,3296.8,35257
ASIANTILES,20110829,39,42.5,37.2,39.15,1168
ASIL,20110829,2.65,2.75,2.65,2.75,1000
ASSAMCO,20110829,11.25,11.65,11.05,11.4,130140
ASTEC,20110829,33.6,34,32.25,33.45,5950
ASTERSILI,20110829,15.25,16,15.25,16,4442
ASTRAL,20110829,180,185.5,177.4,184.45,3669
ASTRAMICRO,20110829,23.2,24.4,23.2,24.2,11610
ASTRAZEN,20110829,1244,1299,1244,1270.65,531
ATFL,20110829,382,387.9,362.9,369.45,9127
ATLANTA,20110829,67.5,70.1,67.5,68.9,142049
ATNINTER,20110829,0.85,0.9,0.85,0.9,6593
ATUL,20110829,188,194.8,188,191.85,16331
AURIONPRO,20110829,124.1,135,124.1,129.8,232
AUROPHARMA,20110829,125.95,129,125,128.45,637785
AUSOMENT,20110829,33.25,33.25,33.25,33.25,10
AUSTRAL,20110829,1.8,1.85,1.75,1.8,215420
AUTOAXLES,20110829,400,406.85,400,405.5,103
AUTOIND,20110829,113.1,119,113.1,117.1,32017
AUTOLITIND,20110829,18.6,18.9,18.3,18.6,1022
AVANTI,20110829,52,52.4,51,51.45,7817
AVENTIS,20110829,2131,2160,2075,2150.2,547
AVTNPL,20110829,310.5,319.9,310.5,319.9,5017
AXISBANK,20110829,1019,1051.95,1015.5,1039.45,2216055
AXISGOLD,20110829,2705,2765.65,2670,2677.65,804
BAGFILMS,20110829,5.5,5.5,5.1,5.4,103885
BAJAJ-AUTO,20110829,1505,1617,1505,1573.55,1010232
BAJAJCORP,20110829,112.9,115.95,112.15,115.25,13587
BAJAJELEC,20110829,166.35,176.5,166.35,174.7,554787
BAJAJFINSV,20110829,505,601.8,501.5,577.75,385004
BAJAJHIND,20110829,51.95,54.55,51.65,54.25,882055
BAJAJHLDNG,20110829,736.9,754.35,736.9,750.35,60947
BAJFINANCE,20110829,626,641.95,603.15,611.85,107865
BALAJITELE,20110829,28.3,28.3,27.3,28.1,33238
BALAMINES,20110829,33.1,35,32.6,34.2,6657
BALKRISIND,20110829,170,173.85,166.05,169.25,5203
BALLARPUR,20110829,26.2,27.2,26.05,27,176878
BALMLAWRIE,20110829,624.9,632,618.3,626.8,7667
BALPHARMA,20110829,22.65,22.75,22.25,22.5,1928
