20MICRONS,20111128,57.55,58.25,56.1,56.6,57085
3IINFOTECH,20111128,18.55,19.25,18.5,19.1,604941
3MINDIA,20111128,3885,3885,3799.95,3812.65,121
A2ZMES,20111128,138,138,116.05,118.75,144441
AANJANEYA,20111128,450.55,470,430.5,455.45,39741
AARTIDRUGS,20111128,84.5,85.45,79,80.35,1845
AARTIIND,20111128,48,48.1,47.25,47.75,6387
AARVEEDEN,20111128,33,33,32.1,32.25,67
ABAN,20111128,349.8,359.4,349.75,355.15,713074
ABB,20111128,616.5,626.8,608.1,612.6,90954
ABBOTINDIA,20111128,1470,1485,1450,1480.65,2565
ABCIL,20111128,76.25,83.05,74.55,79.35,3717
ABGSHIP,20111128,393.65,409.35,393,398.85,145939
ABHISHEK,20111128,8.25,8.25,7.9,7.95,900
ABIRLANUVO,20111128,905,905,887,897.3,44036
ACC,20111128,1129,1199,1126.2,1192.75,450395
ACE,20111128,33.8,34.1,32.1,32.5,60379
ACROPETAL,20111128,14,14.5,14,14.4,61564
ADANIENT,20111128,325.6,329.65,316,317.55,656436
ADANIPOWER,20111128,74.6,74.6,72.05,72.75,441198
ADFFOODS,20111128,46.15,47.8,44.4,46.7,3148
ADHUNIK,20111128,38.4,39.75,38.2,39.55,54976
ADORWELD,20111128,123.5,125.75,123.5,124.35,914
ADSL,20111128,26,26,23.8,24.2,209529
ADVANIHOTR,20111128,32.1,33.4,32.05,33.4,11487
ADVANTA,20111128,338.85,338.85,323.2,324.7,29897
AEGISCHEM,20111128,135,146.9,127.85,143.4,23147
AFL,20111128,37,38.8,36.55,37.9,11273
AFTEK,20111128,10.75,11.4,10.55,11.15,137634
AGCNET,20111128,135,141.85,135,137.95,349
AGRE,20111128,41.5,45.45,39,40.4,20585
AGRODUTCH,20111128,6,6.45,6,6.4,5192
AHLEAST,20111128,253,290,253,288.6,1022
AHLUCONT,20111128,75.95,76,70.1,71.85,2286
AHLWEST,20111128,130.1,135,128,130.9,295
AHMEDFORGE,20111128,93.05,95,93,94.2,4647
AIAENG,20111128,296,304.4,295,300.65,8962
