20MICRONS,20110811,54.7,59,52,53.65,102059
3IINFOTECH,20110811,30.2,31.95,30.2,31.6,567786
3MINDIA,20110811,4420,4650,4420,4623.35,1242
A2ZMES,20110811,212.5,219,210.1,214.05,138758
AANJANEYA,20110811,435,459.9,429,449.4,751233
AARTIDRUGS,20110811,123,123,120,120.35,1735
AARTIIND,20110811,47,47.8,46.05,46.95,6686
AARVEEDEN,20110811,39,39.9,38,38.9,628
ABAN,20110811,392.65,416.4,392.65,408.55,921041
ABB,20110811,798,805,780.8,799.3,57934
ABBOTINDIA,20110811,1450,1476,1450,1468.35,13396
ABCIL,20110811,115.25,117.9,114.55,116.5,3246
ABGSHIP,20110811,371,377.95,368,374.6,235016
ABHISHEK,20110811,12.2,12.5,12,12.05,4516
ABIRLANUVO,20110811,881.2,911.75,881.2,892.1,82819
ACC,20110811,1005,1024.8,998.6,1006.3,245098
ACE,20110811,43.25,45.25,43.25,44.35,42042
ACKRUTI,20110811,182,190.5,178.7,182.8,156490
ACROPETAL,20110811,15,15.6,14.45,15.35,116069
ADANIENT,20110811,599.8,604.65,570,571.95,803528
ADANIPOWER,20110811,92.95,94.5,91,93.8,799934
ADFFOODS,20110811,64,66.5,64,65.75,14414
ADHUNIK,20110811,64.5,65.35,63.4,63.65,70892
ADORWELD,20110811,163.9,163.9,156,157.4,6478
ADSL,20110811,40,41.4,38.7,39.95,84441
ADVANIHOTR,20110811,34.1,37.5,34.1,35,1646
ADVANTA,20110811,292,305,292,295.6,239516
AEGISCHEM,20110811,204,219.7,202.55,204.6,5741
AFL,20110811,43.4,43.4,42,42.75,5632
AFTEK,20110811,12.5,12.9,12.3,12.65,123783
AGCNET,20110811,131.5,140.05,126.15,126.85,6007
AGRE,20110811,47,48.4,46,46.75,7531
AGRODUTCH,20110811,9.25,9.35,9,9.05,31188
AHLEAST,20110811,305,310,300,304.7,4344
AHLUCONT,20110811,126,128.05,125.55,128,429690
AHLWEST,20110811,171.25,171.25,166.1,167.85,1110
AHMEDFORGE,20110811,109.05,113.75,109.05,112.65,6971
AIAENG,20110811,365,387.95,361.25,377.2,515123
AJANTPHARM,20110811,316.1,322.9,309,310.4,16159
AJMERA,20110811,123.9,124,120.5,121.3,14509
AKSHOPTFBR,20110811,6.6,6.75,6.35,6.7,45205
AKZOINDIA,20110811,911.1,950,875.4,934.1,6065
ALBK,20110811,195.3,198.8,195,195.7,228520
ALCHEM,20110811,230.6,231.75,229,230.15,133402
