20MICRONS,20110705,48.5,48.5,47.5,48,7431
3IINFOTECH,20110705,47.75,48.35,47.3,47.8,943587
3MINDIA,20110705,4247.35,4258.7,4150,4241.1,115
A2ZMES,20110705,261.9,269.35,256.35,262.5,1371307
AANJANEYA,20110705,376.25,379,371.6,374,324385
AARTIDRUGS,20110705,132,132,129.5,130.2,4828
AARTIIND,20110705,49.7,49.7,48.65,49.2,12760
AARVEEDEN,20110705,51,51,50.15,50.15,119
ABAN,20110705,535,537.85,525.65,530.25,984167
ABB,20110705,854.35,861.95,850,855.35,71278
ABBOTINDIA,20110705,1480,1489.55,1475,1484.1,292
ABCIL,20110705,130,132.9,128.2,128.5,16204
ABGSHIP,20110705,371.9,378.55,371.9,376.6,503329
ABHISHEK,20110705,13.8,14.4,13.6,14.1,3615
ABIRLANUVO,20110705,918.8,918.8,892.35,899.5,66533
ACC,20110705,952.05,972.7,952.05,970.7,372164
ACE,20110705,48.4,49,48.25,48.45,36178
ACKRUTI,20110705,198.05,202,196.1,196.95,109409
ACROPETAL,20110705,17.2,17.3,17,17,364918
ADANIENT,20110705,714,714,697.45,702.35,67900
ADANIPOWER,20110705,110.2,111.95,109.8,110.25,600313
ADFFOODS,20110705,71,72.2,71,72.2,54858
ADHUNIK,20110705,84.05,84.8,83.3,84.6,22735
ADORWELD,20110705,177,179.9,176,178,3814
ADSL,20110705,45.4,45.4,43.9,45.4,208061
ADVANIHOTR,20110705,38,38,36,36.9,1851
ADVANTA,20110705,263,275.5,259.05,267.65,497899
AEGISCHEM,20110705,228,228,220.1,223.1,19675
AFL,20110705,41.45,41.8,41.45,41.65,1010
AFTEK,20110705,14.2,14.6,14.05,14.25,137942
AGCNET,20110705,175.6,179.15,164.2,166.05,1419
AGRE,20110705,51.2,51.2,49.55,50.05,6587
AGRODUTCH,20110705,12.35,12.35,11.35,12,43289
AHLEAST,20110705,306.55,308,301.55,304.65,127
AHLUCONT,20110705,112.25,119.75,112.25,118.2,12472
AHLWEST,20110705,200,200,190.1,192.5,836
AHMEDFORGE,20110705,121.5,124.65,120.1,121.3,52659
AIAENG,20110705,367,374.95,367,373.3,10681
AJANTPHARM,20110705,302.95,316,300.55,311.3,43788
AJMERA,20110705,157.9,166.5,155.7,160.45,143407
AKSHOPTFBR,20110705,6.85,6.9,6.75,6.85,29861
AKZOINDIA,20110705,920,972,912.2,957.8,91208
ALBK,20110705,197.6,199.7,194.55,196.3,1038991
ALCHEM,20110705,229.1,230.8,229.05,229.4,106300
ALEMBICLTD,20110705,19.65,19.7,18.75,18.85,81235
ALFALAVAL,20110705,1542.9,1549.9,1506,1542.9,2946
ALKALI,20110705,51.6,53.3,51.3,52.35,7244
ALLCARGO,20110705,168.5,172,166.15,170.9,4695
ALLSEC,20110705,19.2,19.9,19.2,19.4,2906
ALMONDZ,20110705,26.5,28.8,24,27.75,1214
ALOKTEXT,20110705,26.1,26.1,25.6,25.8,2353176
ALPA,20110705,9.9,9.95,9.2,9.7,7144
